TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel
122.3,3,6,4,1,-0.45,6,0.34,3
1835.17,0,3,1,2,0.18,2,0.35,3
20.58,2,4,2,2,0.02,16,0.59,0
893.13,0,2,7,0,1.45,5,0.98,3
23.27,2,2,6,1,-1.4,14,0.15,1
38.28,1,6,2,2,-0.34,4,0.03,2
640.05,0,3,3,1,1.18,13,0.67,0
94.63,1,0,1,3,-0.04,4,0.56,2
37.91,2,4,1,1,0.55,4,0.97,0
18.68,2,5,3,2,0.75,4,0.42,3
688.64,0,3,4,0,0.76,15,0.61,1
104.76,1,6,6,0,-0.28,2,0.84,0
134.46,1,6,2,2,0.18,2,0.21,0
14.01,1,4,0,3,0.72,11,0.18,3
565.76,3,0,1,3,-0.01,8,0.57,3
26.71,2,5,0,0,-0.51,12,0.84,1
9.9,2,7,2,3,0.34,7,0.35,3
653.53,3,5,5,1,1.39,13,0.59,0
1794.8,0,2,1,2,0.43,11,0.02,2
7.16,2,0,4,2,-1.16,20,0.19,3
151.61,1,6,0,3,-1.82,11,0.21,0
11.62,2,3,7,2,1.94,3,0.87,2
8.43,1,0,3,3,0.44,9,0.79,2
326.81,3,1,0,0,-0.8,13,0.91,1
1272.15,0,5,4,0,-0.7,3,0.26,2
15.56,1,6,1,1,0.57,14,0.25,3
21.0,2,5,6,0,-0.5,11,0.55,2
7.11,2,0,6,1,0.93,4,0.65,2
31.45,2,2,0,1,0.63,5,0.01,3
23.83,2,1,1,2,-0.82,12,0.62,1
14.03,2,6,1,0,-0.45,11,0.19,3
651.18,3,6,7,2,-1.23,8,0.29,0
1186.46,0,7,6,1,-0.91,9,0.16,0
523.56,3,3,1,2,2.17,10,0.05,1
34.0,2,5,3,3,-0.65,12,0.85,0
508.34,3,2,7,0,-1.96,14,0.74,2
206.05,3,6,6,3,-1.58,6,0.78,1
94.66,1,7,2,0,-2.13,3,0.82,0
2019.21,0,4,3,2,-0.97,18,0.55,2
87.13,1,0,2,3,0.03,11,0.91,2
16.4,2,4,2,3,-0.43,20,0.07,0
0.01,0,2,4,0,-1.59,4,0.67,3
9.77,2,6,4,3,1.61,5,0.24,1
481.47,3,7,2,3,-1.46,15,0.06,2
52.94,1,4,1,3,0.54,3,0.31,1
38.28,1,4,5,1,-0.44,8,0.81,2
476.92,0,5,6,1,-0.53,1,0.54,0
117.21,1,7,6,1,1.47,19,0.61,3
165.54,1,1,0,3,-0.16,14,0.36,3
0.01,3,6,0,0,0.44,11,0.96,3
93.7,3,7,7,2,0.29,13,0.79,1
49.24,3,3,4,1,0.31,7,0.61,0
50.76,2,4,2,0,-0.64,17,0.81,3
90.86,1,1,3,3,0.99,12,0.88,2
1288.43,0,4,5,0,0.14,15,0.08,0
260.13,3,5,4,1,-1.32,7,0.46,3
528.2,3,4,5,0,-2.25,17,0.71,2
0.01,0,3,6,1,0.73,1,0.77,3
12.38,2,3,3,0,0.2,10,0.55,2
46.43,2,1,4,1,-0.08,19,0.55,3
308.94,3,7,6,0,0.26,10,0.22,1
9.47,1,1,3,3,-1.52,9,0.8,2
386.08,1,0,5,2,-0.25,4,0.93,2
26.15,2,4,1,0,1.2,17,0.79,2
59.35,1,1,0,3,1.38,16,0.3,3
116.42,3,6,2,0,-1.17,4,0.64,3
38.27,1,7,3,1,0.43,10,0.26,3
206.36,1,6,2,2,-0.45,11,0.67,2
69.41,1,4,6,2,-0.26,2,0.53,0
359.01,3,4,3,3,-1.38,6,0.51,3
0.01,0,3,0,0,0.44,5,0.36,3
14.41,2,7,3,0,-1.81,10,0.81,1
44.51,1,0,4,0,0.38,19,0.23,3
1353.99,0,3,6,0,-1.11,12,0.73,3
229.92,3,0,5,2,-0.52,5,0.36,2
22.16,2,5,0,0,0.2,20,0.51,0
13.5,1,1,1,0,0.77,12,0.71,3
14.9,2,0,4,1,-0.38,5,0.85,0
10.17,1,6,4,2,-0.42,9,0.98,3
974.78,0,6,3,0,-1.65,5,0.71,2
543.47,3,0,4,2,-0.79,7,0.62,1
630.84,3,2,6,1,0.09,4,0.04,3
26.8,2,2,1,0,0.27,12,0.48,0
85.03,1,7,3,0,-0.27,16,0.62,2
18.38,2,6,5,0,1.34,15,0.67,2
577.47,3,5,4,1,-1.06,4,0.52,0
68.89,3,6,7,2,0.71,20,0.03,3
9.94,1,4,3,3,0.63,4,0.95,3
89.1,1,4,7,0,-1.11,4,0.3,2
255.31,1,0,4,3,-0.68,11,0.1,1
29.72,2,4,3,0,0.7,13,0.26,1
147.25,1,1,3,2,0.92,19,0.51,1
11.43,1,3,6,2,1.13,20,0.24,3
244.59,3,6,1,0,-0.37,20,0.52,3
118.11,1,7,1,0,0.61,12,0.39,2
420.54,3,4,4,1,-1.81,12,0.39,0
292.14,1,4,2,0,0.54,11,0.78,0
940.06,0,7,3,3,0.66,3,0.82,3
34.82,2,3,4,1,0.33,1,0.5,1
8.58,2,6,4,0,-1.0,7,0.39,3
519.01,0,4,4,2,0.81,9,0.97,3
667.25,0,1,6,2,-1.42,8,0.63,3
398.29,3,6,6,3,-0.3,19,0.83,0
411.66,0,1,5,0,-1.28,14,0.45,3
9.95,1,2,3,0,-1.16,8,0.58,3
200.41,1,2,7,2,0.66,13,0.4,1
15.14,2,0,1,0,1.67,3,0.49,3
11.58,2,1,6,3,-1.56,14,0.08,2
40.15,1,1,3,1,0.17,14,0.86,1
1814.26,0,7,2,3,-0.52,8,0.82,0
45.74,2,4,4,0,0.55,5,0.57,3
14.64,1,7,7,1,0.61,19,0.88,1
16.32,1,7,0,0,-0.19,18,0.92,1
26.21,2,2,5,2,-0.32,6,0.59,1
2.06,1,7,1,2,1.73,5,0.65,2
100.75,1,0,2,3,1.1,12,0.64,2
245.94,3,0,3,1,-0.53,8,0.6,1
361.39,3,6,5,1,0.88,2,0.64,0
8.65,2,7,7,1,-0.03,20,0.21,1
366.51,3,6,3,1,0.17,16,0.1,1
514.12,3,3,1,0,-0.05,15,0.13,3
1035.22,0,0,1,2,1.01,4,0.34,1
1249.18,0,4,3,1,1.41,8,0.64,0
142.2,1,7,0,1,-1.25,20,0.86,0
236.87,3,4,7,2,1.71,3,0.79,2
10.99,2,6,3,1,-0.57,9,0.19,3
66.63,1,6,5,3,-1.03,1,0.63,0
23.7,1,5,4,0,-2.61,4,0.06,1
25.09,1,7,6,0,-0.69,15,0.88,1
207.22,1,5,0,0,-0.9,14,0.64,3
18.07,2,6,7,0,-0.09,15,0.31,1
3.87,1,4,7,2,-0.9,14,0.01,3
15.11,2,0,2,1,0.84,11,0.09,0
427.46,3,7,4,2,1.91,2,0.27,1
815.22,0,6,0,2,0.55,4,0.02,0
10.31,2,5,2,0,1.16,5,0.56,1
664.24,3,1,4,2,-0.09,15,0.51,1
0.01,3,2,3,0,-0.2,17,0.41,0
124.87,1,0,4,3,-1.22,5,0.21,1
76.63,1,0,4,1,1.14,15,0.18,3
23.18,2,2,2,1,0.69,17,0.81,1
47.59,3,4,2,2,-0.73,14,0.8,3
397.17,3,5,2,2,-0.12,3,0.8,0
1877.54,0,6,1,3,1.04,17,0.76,2
925.11,0,7,0,2,-0.36,1,0.59,0
183.97,1,3,6,1,-0.75,6,0.62,2
53.87,0,5,3,1,0.93,11,0.84,2
85.88,1,6,7,1,-0.29,10,0.72,3
16.86,1,5,6,2,-0.63,2,0.84,0
1192.07,0,0,0,3,-0.13,13,0.67,2
270.19,3,4,6,2,0.3,2,0.88,1
162.82,3,7,6,2,0.48,1,0.1,1
37.0,1,0,3,3,0.53,13,0.87,3
26.7,2,6,4,0,0.37,1,0.28,0
107.79,2,5,4,0,0.77,11,0.16,3
148.7,1,3,4,1,0.01,18,0.66,2
363.91,3,4,7,1,-0.6,6,0.45,2
295.55,3,5,7,1,0.01,6,0.06,2
1561.72,0,4,3,3,0.84,3,0.67,3
26.04,2,3,1,2,0.22,3,0.16,0
555.02,3,6,3,1,2.44,9,0.82,2
314.88,3,1,1,1,-0.05,16,0.04,2
1562.9,0,0,6,3,-0.03,8,0.31,2
15.06,2,0,5,2,2.9,12,0.71,0
47.56,1,5,6,0,1.08,19,0.5,2
4.35,1,7,0,0,-0.85,12,0.13,1
30.3,2,7,0,0,1.31,2,0.85,2
63.23,3,6,7,2,-0.53,9,0.88,0
424.91,3,7,0,0,0.79,12,0.36,1
44.87,1,4,5,0,0.16,19,0.33,3
1547.93,0,4,2,3,1.57,9,0.75,2
13.52,2,3,0,0,1.53,20,0.62,0
880.76,0,1,7,1,0.71,19,0.18,0
1132.08,0,6,6,0,-0.9,10,0.9,1
754.64,0,1,1,1,-1.45,13,0.11,1
98.3,3,6,4,1,0.79,11,0.01,1
13.94,2,5,6,3,-0.05,9,0.76,2
328.57,3,5,1,1,0.03,20,0.55,3
302.29,1,1,6,1,-0.49,9,0.84,2
64.27,1,6,7,0,-0.66,17,0.7,0
226.1,3,7,3,0,-1.31,20,0.64,3
763.88,0,4,0,0,0.01,11,0.0,2
307.23,3,4,1,2,-0.41,14,0.21,1
373.49,0,5,2,0,-1.92,13,0.17,0
31.18,2,1,3,0,-0.42,11,0.16,0
45.7,2,4,4,3,0.87,9,0.56,1
27.62,2,2,4,1,-0.97,6,0.85,2
209.3,1,3,5,1,-1.53,2,0.82,0
8.03,2,6,6,0,-1.41,16,0.89,0
20.58,2,2,2,0,0.84,14,0.75,0
24.01,1,6,2,2,0.21,6,0.65,1
1672.86,0,2,3,3,0.52,8,0.06,0
23.53,1,5,6,1,0.96,18,0.54,0
418.52,1,3,4,3,0.59,11,0.77,1
66.92,2,6,7,0,-1.03,4,0.11,0
488.17,3,7,0,3,1.27,7,0.37,2
566.21,0,2,6,2,-0.61,4,0.32,2
155.56,3,1,6,2,0.54,8,0.05,1
130.85,0,0,0,0,-1.64,6,0.37,0
18.49,2,6,5,0,0.49,10,1.0,1
2584.49,0,4,6,0,2.04,17,0.38,0
479.99,1,4,3,1,-0.28,13,0.45,3
0.01,3,5,3,0,-2.08,2,0.83,2
0.01,3,1,3,2,0.52,3,0.39,0
147.93,3,0,1,2,2.22,2,0.42,3
114.86,1,2,2,2,-1.21,18,0.99,1
29.21,2,4,7,1,1.62,8,0.21,1
18.31,3,4,1,2,1.46,19,0.13,2
74.92,1,2,0,1,0.31,6,0.49,1
860.19,0,2,5,3,-0.15,1,0.94,0
1261.33,0,2,0,2,0.49,12,0.23,2
14.5,1,3,0,0,-0.81,15,0.37,1
920.95,0,7,6,2,1.66,10,0.77,0
90.93,3,4,1,1,0.19,18,0.51,2
15.18,2,2,6,1,0.45,3,0.71,3
104.34,1,2,1,2,1.38,13,0.65,0
13.98,2,4,3,3,1.15,2,0.72,0
0.01,0,7,6,0,-0.17,5,0.85,3
456.95,3,5,7,2,-1.04,3,0.13,1
22.29,2,0,0,3,-0.38,3,0.33,2
1044.33,0,2,7,2,0.29,6,0.96,1
33.57,2,1,0,0,-0.46,15,0.48,3
758.89,0,5,2,0,-0.31,17,0.19,3
1227.46,0,0,4,1,-1.62,13,0.11,1
2216.99,0,0,3,3,-1.2,3,0.16,0
159.09,1,7,5,0,-0.39,13,0.36,0
111.13,1,1,0,2,-0.87,13,0.82,1
29.58,2,1,1,2,0.12,2,0.76,0
512.2,3,2,1,3,-0.16,17,0.89,3
17.43,2,3,3,1,1.16,3,0.92,2
53.55,1,7,5,2,0.04,19,0.23,3
106.18,1,6,0,3,1.01,7,0.96,2
945.29,0,7,7,0,-0.53,19,0.28,2
6.11,1,2,4,2,-0.28,2,0.99,1
0.01,3,3,0,2,-0.39,7,0.02,3
192.25,1,5,6,2,1.5,8,0.51,1
612.83,3,7,2,1,-0.34,15,0.83,1
205.97,3,5,0,1,-0.02,17,0.97,0
367.54,3,5,0,2,-0.83,16,0.11,2
2.27,1,1,1,2,0.8,12,0.09,3
13.35,2,1,6,0,-0.27,20,0.57,0
11.11,1,7,0,0,-1.43,11,0.46,2
412.23,0,7,0,1,-0.05,2,0.18,0
25.2,2,2,0,3,0.88,18,0.58,0
1366.54,0,4,7,2,-1.01,1,0.82,0
151.32,1,0,1,2,0.71,16,0.42,3
65.2,1,3,6,2,-1.82,4,0.8,2
823.76,0,2,6,0,-0.87,19,0.25,0
23.8,2,7,2,0,0.69,13,0.22,2
753.19,0,1,4,2,0.23,15,0.1,3
10.64,1,0,1,0,-0.37,10,0.44,1
32.51,2,2,4,3,1.35,7,0.08,1
141.72,1,0,3,3,-0.31,20,0.05,0
303.44,3,5,0,1,-0.97,4,0.39,2
46.48,2,6,5,1,-2.12,13,0.15,3
146.56,1,2,3,1,0.63,13,0.89,0
1211.1,0,2,6,0,0.2,13,0.63,3
203.06,3,1,6,3,0.1,12,0.27,0
458.71,3,4,3,3,-0.12,12,0.64,0
376.99,3,6,4,1,-0.19,15,0.57,3
25.04,2,0,6,1,-1.49,18,0.07,0
1567.39,0,0,1,2,-0.07,11,0.96,0
17.14,2,7,3,3,-1.09,6,0.49,0
236.04,3,3,1,0,1.23,7,0.6,3
8.69,2,6,5,2,0.64,2,0.52,0
1824.73,0,4,2,3,-1.17,15,0.49,0
54.07,3,6,2,2,-0.76,1,0.03,2
497.23,3,3,5,0,0.07,13,0.38,1
36.19,1,1,2,3,-1.17,7,0.44,2
2318.28,0,1,0,3,-0.45,4,0.4,3
11.24,2,5,0,1,0.37,3,0.46,1
267.7,3,7,3,3,1.06,8,0.6,3
511.01,3,1,3,1,-0.05,16,0.84,2
117.94,1,5,5,1,1.82,15,0.53,1
96.26,0,5,0,0,-0.37,13,0.54,2
17.31,2,7,3,2,0.57,4,0.9,0
325.53,3,2,0,0,0.57,11,0.44,2
659.53,0,0,2,3,0.53,18,0.62,1
14.08,2,4,7,3,-0.08,9,0.21,1
981.96,0,2,5,0,-0.35,9,0.75,2
490.68,3,7,2,1,-0.66,15,0.77,1
68.18,2,0,4,3,1.6,9,0.99,3
34.16,2,1,4,0,0.8,8,0.95,1
7.9,2,5,1,2,-1.33,4,0.56,1
8.92,2,5,6,0,0.33,10,0.12,1
58.48,1,6,6,2,-0.1,4,0.44,1
1523.03,0,1,0,1,0.86,13,0.14,1
355.79,3,6,7,0,-0.56,9,0.89,1
1678.39,0,7,1,1,-0.17,12,0.03,1
1328.03,0,0,6,1,-0.45,13,0.44,1
0.01,3,6,1,0,-0.79,17,0.75,0
9.72,1,7,6,1,1.34,13,0.78,0
33.88,2,6,3,2,0.92,12,0.98,2
42.49,2,1,2,3,-0.04,11,0.93,0
1241.6,0,5,1,3,-0.18,3,0.48,3
108.34,3,6,6,2,-0.31,9,0.77,0
9.62,2,2,2,2,-0.16,5,0.94,3
113.79,1,5,2,1,-0.37,9,0.53,2
6.98,2,7,4,0,0.77,17,0.11,2
16.65,2,5,2,0,-1.97,7,0.22,2
114.45,1,5,6,1,0.45,14,0.57,0
12.64,1,1,6,1,-0.0,12,0.57,0
18.5,2,4,2,3,1.31,1,0.24,1
538.23,0,2,1,0,0.04,17,0.63,1
93.28,1,1,2,2,-0.73,5,0.88,3
14.89,1,2,5,1,0.98,14,0.1,0
817.16,0,4,0,3,0.2,8,0.37,3
111.56,1,4,1,3,-0.18,12,0.66,0
1162.46,0,0,4,0,0.42,7,0.61,0
499.81,0,3,4,1,-0.29,14,0.13,2
185.12,1,7,7,3,1.7,10,0.7,3
116.99,1,2,4,1,1.16,14,0.64,1
1301.87,0,1,3,3,0.02,18,0.17,3
214.26,3,1,6,3,1.12,7,0.59,3
0.01,3,3,4,0,-0.86,6,1.0,3
44.56,1,7,0,2,0.3,18,0.83,1
334.76,3,4,5,2,0.92,8,0.68,1
1666.12,0,2,4,0,0.34,15,0.64,1
11.25,2,4,6,1,-0.21,15,0.17,2
34.64,3,2,0,2,-0.88,10,0.77,3
998.58,0,5,3,1,0.81,14,0.6,3
18.67,2,5,1,2,1.66,1,0.66,2
262.16,3,3,5,2,-0.86,20,0.3,1
12.28,2,6,6,3,1.19,7,0.76,3
100.82,1,3,0,0,-1.44,11,0.53,0
20.25,1,6,5,1,1.22,16,0.08,1
15.28,1,3,5,2,0.58,3,0.46,0
1567.32,0,7,6,0,-2.06,13,0.93,0
0.01,3,4,3,2,-0.04,6,0.52,2
838.88,0,0,1,1,-1.47,20,0.7,3
18.55,2,1,0,1,1.26,11,0.39,3
276.37,0,4,2,2,0.53,2,0.45,3
140.2,3,3,0,2,1.04,6,0.77,3
727.99,0,3,2,3,-0.48,20,0.77,1
47.76,3,7,2,3,-1.01,16,0.82,0
76.21,2,6,7,2,0.82,3,0.69,1
733.15,0,3,1,0,-0.55,8,0.69,3
102.34,3,0,6,3,-0.21,12,0.95,0
34.98,2,3,6,2,0.69,14,0.28,3
1006.84,0,6,7,1,-0.95,18,0.48,2
1105.46,0,6,3,2,-1.5,9,0.25,1
7.62,1,7,1,0,-1.01,11,0.24,1
356.22,3,3,6,3,0.54,4,0.62,1
79.96,1,7,5,0,-0.29,11,0.96,2
48.75,0,3,1,3,-0.3,16,0.45,2
40.71,2,3,0,2,2.42,12,0.2,1
18.29,2,3,2,3,0.42,9,0.96,2
69.32,1,1,4,2,-1.31,9,0.24,1
7.46,1,6,2,2,-0.94,18,0.85,3
53.02,2,1,7,1,0.96,8,0.38,1
15.37,2,2,6,2,0.64,8,0.25,2
106.92,1,4,3,2,-0.08,17,0.19,0
338.41,3,3,0,2,0.02,16,0.46,1
15.04,2,4,3,1,1.33,9,1.0,3
602.75,0,6,3,2,-0.37,5,0.4,0
27.33,2,6,7,2,-1.48,4,0.07,1
511.91,0,3,3,0,-1.58,7,0.69,2
475.96,3,4,3,2,0.05,12,0.08,2
7.71,2,2,0,2,0.3,17,0.94,2
23.73,2,6,0,2,-0.56,16,0.24,2
295.75,3,2,2,2,0.65,14,0.34,1
10.38,1,7,7,0,1.05,1,0.32,2
712.86,0,5,7,0,0.53,17,0.29,1
11.96,2,6,7,1,0.75,10,0.58,1
1680.96,0,6,7,0,0.42,10,0.02,1
6.68,2,5,6,3,-0.08,1,0.41,1
1353.08,0,7,1,3,-0.95,6,0.3,0
31.53,2,0,5,0,0.66,13,0.7,1
19.91,2,2,4,3,0.11,19,0.38,3
327.74,0,2,1,1,0.09,1,0.23,0
17.31,2,1,1,2,-0.5,5,0.87,0
144.57,3,0,7,2,0.53,16,0.28,3
26.56,2,3,2,2,0.48,3,0.27,2
1340.72,0,4,6,2,-0.38,10,0.97,3
917.1,0,7,4,1,-0.95,14,0.14,3
322.64,3,3,1,1,-0.65,10,0.66,1
811.97,0,7,7,3,0.53,13,0.09,3
9.8,2,4,2,1,0.77,9,0.93,3
1324.36,0,1,6,1,0.21,13,0.19,1
356.37,3,0,1,2,0.32,15,0.25,0
134.79,1,4,2,0,-1.06,15,0.75,1
94.31,1,0,1,2,-0.25,20,0.96,3
223.14,3,5,0,1,1.13,7,0.87,1
744.75,3,7,0,1,1.11,4,0.51,3
908.45,0,6,0,0,0.84,8,0.56,0
226.01,0,5,1,2,0.41,17,0.42,2
368.44,3,0,5,2,1.39,11,0.1,0
325.2,0,1,3,1,1.79,16,0.84,3
18.56,2,0,1,2,0.29,18,0.21,1
421.12,0,3,2,0,-0.13,19,0.02,0
429.41,3,2,3,2,-1.95,10,0.49,2
66.8,2,0,6,3,-2.14,5,0.57,0
378.38,3,1,4,0,0.04,18,0.4,3
289.35,3,1,1,3,0.42,14,0.99,1
276.91,3,3,7,1,0.83,15,0.97,2
9.26,2,5,5,3,-0.83,8,0.11,0
1405.46,0,6,0,3,0.77,14,0.17,3
9.21,1,2,0,3,1.79,13,0.09,2
0.01,0,1,7,2,1.62,20,0.67,3
166.55,1,7,7,3,0.49,8,0.36,1
901.09,0,0,6,2,0.33,14,0.33,1
10.36,1,1,2,0,-0.01,12,0.47,2
38.33,1,4,6,2,-0.45,17,0.62,2
1279.0,0,1,6,0,1.02,6,0.29,2
622.48,0,3,5,1,-0.42,11,0.31,2
1386.38,0,3,1,1,-0.92,1,0.39,1
1209.5,0,6,4,3,2.39,16,0.59,2
3.44,2,1,6,2,-0.99,15,0.55,2
0.01,3,1,2,1,0.82,10,0.66,3
30.93,2,0,2,1,-0.78,17,0.26,1
14.3,1,2,7,3,0.66,14,0.26,2
929.65,0,4,5,1,-0.97,7,0.48,2
1823.79,0,3,1,0,-0.0,18,0.8,1
95.45,1,1,4,3,-0.33,9,0.7,0
6.56,2,0,7,3,-0.97,16,0.8,2
12.12,2,2,4,0,-1.66,20,0.36,2
562.46,0,1,4,3,-0.26,7,0.74,1
35.83,1,0,4,1,0.19,13,0.5,2
382.57,3,0,6,3,0.62,13,0.49,0
0.01,3,3,2,0,-0.18,7,0.28,2
217.61,1,1,6,1,-0.03,9,0.19,3
30.08,2,0,7,1,-0.15,19,0.14,3
212.0,1,3,0,2,-0.3,7,0.46,3
865.13,0,0,6,1,-0.56,11,0.1,0
1028.07,0,0,5,2,1.81,10,0.71,3
121.7,1,7,7,2,-0.53,19,0.3,2
734.79,3,3,6,1,0.46,18,0.19,0
593.99,0,3,5,0,-0.15,18,0.0,0
32.2,2,1,1,3,0.48,1,0.44,3
194.15,3,7,5,1,-0.73,17,0.03,2
53.55,1,0,7,2,0.07,12,0.43,3
145.82,1,2,1,2,0.37,13,0.21,2
10.21,2,7,3,3,0.14,7,0.26,1
18.34,1,7,3,2,0.47,18,0.58,2
674.61,0,2,6,0,0.83,10,0.43,1
60.53,1,4,6,1,-0.14,8,0.38,3
9.66,2,3,3,3,-0.52,1,0.92,3
983.01,0,3,5,0,-1.46,2,0.97,0
53.73,1,1,3,3,0.74,16,0.8,2
605.36,0,4,3,2,0.67,1,0.57,1
0.01,0,1,3,1,-0.18,12,0.25,3
320.74,1,5,5,3,-0.75,13,0.42,3
1.46,1,4,2,1,1.01,13,0.35,2
46.22,2,5,4,1,1.85,9,0.07,1
124.08,3,0,0,1,-0.28,12,0.31,1
24.43,2,0,5,0,0.2,18,0.23,2
63.08,2,3,6,2,0.44,9,0.92,3
296.35,3,0,5,2,-0.06,16,0.75,2
894.06,0,4,0,0,-0.76,18,0.45,0
116.66,1,5,2,1,1.04,12,0.16,0
1660.85,0,4,1,2,-0.21,12,0.85,3
240.04,1,3,2,0,-0.1,12,0.8,2
14.75,2,1,3,0,0.2,13,0.99,1
290.44,1,2,1,3,-0.49,11,0.69,0
149.0,3,3,4,3,-1.29,17,0.88,0
64.37,1,5,6,2,0.21,10,0.26,1
147.97,1,6,1,0,-2.0,15,0.68,0
939.3,0,2,0,2,0.28,1,0.85,3
61.59,2,2,4,1,-0.39,2,0.48,1
795.61,0,0,0,2,-0.39,8,0.18,3
31.63,2,6,2,3,-0.69,8,0.07,3
1211.28,0,6,6,1,0.37,8,0.56,0
21.5,2,7,0,2,1.1,10,0.89,3
24.81,2,5,0,1,-1.02,15,0.47,0
76.01,2,4,0,3,-1.28,9,0.86,1
43.34,1,7,5,1,0.47,17,0.97,0
573.59,0,5,5,1,-1.47,6,0.6,1
1358.86,0,0,3,0,1.39,9,0.08,2
279.69,3,3,3,3,-0.81,4,0.29,1
1124.75,0,6,3,1,0.92,17,0.3,3
734.87,0,3,5,3,0.91,14,0.95,2
522.56,3,3,0,3,-0.61,2,0.08,1
28.34,3,0,5,1,-0.59,13,0.33,2
452.56,0,1,4,1,0.34,18,0.71,2
430.59,0,6,7,2,0.28,13,0.6,2
14.71,2,2,6,0,-0.5,12,0.01,1
16.13,2,2,2,2,1.24,17,0.16,3
1569.63,0,3,7,0,-1.64,2,0.56,1
30.97,2,1,6,0,-0.01,1,0.53,0
46.42,1,0,1,0,-1.17,2,0.29,1
813.9,0,3,3,1,-2.1,8,0.43,1
7.76,2,1,2,2,-0.47,11,0.04,2
867.63,0,5,4,2,0.35,12,0.36,3
284.53,3,6,6,3,0.74,10,0.59,0
123.6,2,3,0,3,1.07,9,0.79,1
30.76,1,2,3,1,-0.32,6,0.34,0
1143.64,0,0,7,2,0.51,6,0.72,2
1030.27,0,4,2,2,-1.88,13,0.75,1
29.49,1,5,6,0,0.96,16,0.19,0
724.68,0,2,5,1,-0.12,18,0.8,1
1143.21,0,5,3,2,-0.37,10,0.99,1
16.52,2,2,3,2,0.75,13,0.28,2
12.12,2,7,3,0,1.15,17,0.58,1
905.08,0,4,3,1,0.11,16,0.33,3
177.48,3,4,3,2,-0.4,1,0.37,0
391.91,3,1,4,1,0.59,15,0.55,2
1492.6,0,1,2,1,-0.02,4,0.13,3
31.62,1,7,0,3,-1.86,14,0.7,1
150.51,3,4,6,3,-0.23,14,0.2,2
720.34,3,1,2,3,0.23,18,0.99,3
381.57,1,4,0,1,2.14,20,0.97,3
1502.2,0,1,1,3,-1.53,18,0.45,2
469.57,3,7,0,3,-0.52,5,0.32,2
2.39,1,2,1,0,-0.84,2,0.81,1
199.99,1,2,0,2,-1.66,16,0.19,2
306.59,3,1,4,2,2.08,15,0.36,2
478.59,3,2,4,3,0.91,19,0.39,2
430.86,3,4,6,0,-0.86,11,0.5,1
22.22,1,3,3,3,0.35,7,0.26,2
19.93,2,7,0,0,0.09,11,0.54,1
1209.9,0,2,1,2,2.12,20,0.88,3
326.52,3,3,6,0,0.78,15,0.11,0
1493.65,0,7,4,3,-0.13,4,0.84,2
442.04,3,7,2,2,0.59,15,0.23,0
630.85,0,3,5,2,1.35,11,0.44,3
54.76,2,2,7,3,-1.03,11,0.66,3
0.01,0,3,6,3,-0.78,14,0.67,1
29.92,1,7,0,3,0.14,18,0.67,0
503.76,3,2,1,1,0.15,16,0.27,2
43.93,3,3,0,0,1.0,13,0.03,2
148.43,1,6,5,1,1.35,14,0.39,2
13.69,2,2,6,2,0.05,6,0.8,3
86.97,1,7,3,2,0.56,13,0.37,0
2044.35,0,6,4,1,0.86,9,0.0,0
7.72,2,7,5,0,-1.18,12,0.06,1
490.25,1,5,6,0,1.9,7,0.72,3
17.56,2,6,7,0,2.51,6,0.76,0
159.65,3,3,4,0,-0.61,10,0.23,3
27.13,2,5,5,2,0.98,13,0.72,1
538.18,0,5,3,2,1.03,10,0.98,3
44.72,1,4,7,2,1.97,6,0.28,2
14.66,2,7,5,0,-0.41,12,0.96,1
1801.89,0,5,1,3,0.69,11,0.61,2
188.94,1,7,2,3,-0.27,3,0.64,0
42.12,2,1,5,2,0.15,15,0.05,0
541.86,1,0,1,3,-1.41,15,0.4,0
1096.61,0,1,4,1,-3.64,8,0.44,1
212.73,3,2,2,0,-0.31,9,0.27,3
0.01,0,6,1,0,-0.64,11,0.17,2
508.16,3,6,4,3,1.47,7,0.64,2
785.54,0,0,2,1,0.14,17,0.42,2
1249.68,0,2,0,1,-0.6,11,0.9,2
21.45,1,1,1,3,-0.95,20,0.48,0
283.78,3,5,4,0,0.74,20,0.19,1
39.33,1,1,7,2,-1.0,18,0.28,0
41.29,1,4,3,2,-1.1,11,0.67,2
83.14,1,3,6,1,-0.29,9,0.83,1
300.83,1,5,2,0,0.37,9,0.23,2
9.3,2,3,7,2,-0.72,7,0.73,1
572.67,0,0,0,3,0.84,20,0.78,2
81.8,1,4,0,2,0.91,11,0.2,0
417.38,3,5,1,1,-1.51,2,0.48,3
42.26,1,5,7,1,0.82,19,0.64,3
799.17,0,2,3,2,0.75,20,0.42,3
47.34,2,3,4,3,0.19,20,0.4,3
443.49,0,5,4,1,-1.09,9,0.49,3
647.24,3,6,2,0,-1.53,3,0.28,1
912.33,0,7,4,1,0.54,11,0.06,1
49.46,1,6,0,1,-0.79,3,0.71,2
15.22,2,1,5,1,0.9,18,0.06,3
1291.52,0,0,1,1,-1.37,14,0.96,2
0.41,1,6,2,2,-1.35,5,0.84,1
12.34,2,0,5,1,-0.82,19,0.97,3
4.9,2,6,1,1,-0.8,12,0.59,1
2256.66,0,1,7,3,0.4,19,0.04,0
