TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel,Target
370.83,3,0,6,0,2.07,11,0.36,3,1
11.55,2,1,2,3,-1.22,13,0.56,3,1
471.49,0,3,3,0,-1.82,20,0.37,1,0
439.36,3,3,5,1,1.73,1,0.69,2,1
170.4,1,0,0,1,0.73,18,0.29,0,1
2242.4,0,6,6,2,-0.13,12,0.74,2,0
48.16,1,4,5,2,1.61,20,0.77,2,1
30.81,2,2,1,3,1.73,2,0.83,0,1
433.2,3,7,7,1,0.3,13,0.63,1,1
6.22,2,4,4,2,-2.1,7,0.83,3,1
1332.06,0,7,7,3,0.2,19,0.73,2,0
13.03,2,0,5,3,0.34,19,0.05,0,1
473.75,3,7,3,3,0.19,9,0.37,2,1
191.51,3,3,5,3,-0.88,18,0.39,3,1
28.75,2,7,2,0,0.51,12,0.87,1,1
42.63,2,3,2,1,-2.5,9,0.62,1,1
1329.55,0,4,5,1,0.74,3,0.04,1,0
42.99,2,4,7,3,0.44,16,0.43,1,1
1189.19,0,2,6,3,2.27,14,0.97,1,0
426.07,3,2,0,0,-0.9,7,0.09,2,1
237.64,1,5,6,2,-1.41,16,0.19,3,1
576.59,0,3,1,1,-1.93,12,0.52,1,0
4.51,1,1,3,2,-0.73,15,0.27,3,1
38.53,2,3,4,1,1.51,10,0.26,1,1
373.54,3,1,2,0,1.51,17,0.96,0,1
827.94,0,2,5,1,-0.24,8,0.49,3,0
1403.14,0,2,5,1,0.65,16,0.23,3,0
705.88,0,5,3,2,-1.03,4,0.66,2,0
11.07,2,4,0,2,-0.51,13,0.55,0,1
4.1,2,7,2,2,-1.94,6,0.98,3,1
25.72,2,5,0,1,-0.36,13,0.67,2,1
358.86,3,5,3,3,-0.63,5,0.81,1,1
34.26,2,5,5,3,-0.74,13,0.89,0,1
167.95,3,2,7,0,1.68,12,0.86,0,1
124.62,1,1,6,2,0.57,13,0.82,2,1
4.96,2,7,2,2,0.32,20,0.85,3,1
17.93,2,1,6,2,0.2,2,0.41,2,1
448.27,3,4,5,0,0.2,16,0.28,0,1
1508.49,0,0,7,2,0.3,18,0.19,0,0
970.85,0,0,6,1,0.27,17,0.49,0,0
26.76,2,1,7,2,1.67,19,0.51,3,1
473.47,3,4,0,0,0.91,16,0.2,0,1
6.62,3,1,4,1,-0.21,16,0.78,3,1
267.23,3,0,2,3,-2.22,4,0.18,0,1
323.61,3,0,1,3,-1.26,14,0.74,0,1
1385.32,0,1,7,1,-1.98,16,0.55,1,0
649.91,3,7,6,2,0.14,11,0.36,0,1
515.44,3,6,3,0,0.96,6,0.2,1,1
73.31,1,0,1,1,0.55,7,0.33,0,1
35.94,2,5,4,2,2.85,19,0.57,1,1
21.97,0,5,3,3,-1.17,3,0.36,3,1
23.79,3,7,6,2,1.18,19,0.6,2,1
207.86,0,5,1,0,1.26,10,0.7,2,1
1187.04,0,5,7,0,-1.47,7,0.68,1,0
8.84,2,2,4,3,0.04,17,0.3,3,1
857.13,0,0,7,2,-1.28,1,0.76,2,0
12.33,2,5,7,1,0.66,1,0.67,3,1
41.16,1,1,2,3,0.28,5,0.32,0,1
7.06,2,0,5,1,-0.8,15,0.28,2,1
437.83,3,3,1,3,-1.15,18,0.1,2,1
671.47,0,3,3,3,-0.53,20,0.76,2,0
28.68,2,6,2,2,-0.43,15,0.05,3,1
99.1,3,3,4,0,-0.59,6,0.77,1,1
391.49,3,7,3,1,0.57,13,0.58,0,1
47.6,2,6,1,3,-0.29,18,0.75,3,1
770.63,0,5,0,0,0.02,13,0.64,2,0
282.81,3,4,2,0,0.94,6,0.18,3,1
582.12,3,3,0,0,-0.66,11,0.55,1,1
728.05,0,2,5,1,0.85,7,0.93,0,0
1081.35,0,3,7,1,-0.45,1,0.96,2,0
120.32,1,7,1,0,0.33,15,0.93,0,1
3.01,1,3,1,2,-1.09,6,0.39,3,1
508.81,3,6,4,1,0.9,14,0.67,0,1
38.22,2,6,5,2,-0.45,14,0.74,3,1
400.84,3,3,7,2,0.24,10,0.78,2,1
23.42,2,3,3,0,-0.15,2,0.81,2,1
2508.46,0,0,0,0,0.08,4,0.69,3,0
558.85,3,4,6,3,-1.23,12,0.07,0,1
292.18,3,3,4,2,-0.64,18,0.82,1,1
183.12,1,4,2,0,-0.7,13,0.34,3,1
53.66,2,1,2,2,-1.64,2,0.17,0,1
1042.67,0,1,2,1,-0.43,19,0.41,2,0
1018.75,0,1,5,3,-1.35,15,0.1,0,0
117.63,1,6,1,3,0.29,2,0.52,1,1
934.14,0,4,4,0,-0.74,2,0.24,2,0
193.78,3,4,0,0,0.24,16,0.52,2,1
223.69,1,6,0,3,-0.69,4,0.78,2,1
1284.51,0,6,3,1,-0.4,12,0.25,3,0
20.41,3,7,7,2,0.35,3,0.4,0,1
24.87,1,1,4,2,-1.88,7,0.84,2,1
53.15,2,3,0,1,-0.55,6,1.0,2,1
1327.2,0,1,0,1,0.06,19,0.46,3,0
1790.7,0,3,1,3,-0.86,9,0.36,0,0
430.67,3,5,4,2,0.08,4,0.39,1,1
195.78,1,0,5,1,0.04,18,0.39,2,1
37.03,1,0,5,2,0.84,19,0.41,1,1
23.06,2,6,4,3,1.56,3,0.89,0,1
16.68,1,0,2,0,0.66,9,0.73,0,1
481.99,3,2,7,2,-1.0,13,0.86,3,1
18.23,1,6,2,1,1.13,4,0.52,0,1
95.22,1,0,7,0,0.28,12,0.46,0,1
8.94,2,5,1,1,-0.7,17,0.74,1,1
159.59,1,4,0,3,-1.31,1,0.06,2,1
43.77,1,4,5,1,0.23,11,0.43,2,1
579.22,0,4,3,3,-0.19,20,0.56,1,0
414.37,3,2,5,3,0.89,14,0.08,1,1
241.86,3,2,5,3,0.99,20,0.1,1,1
727.47,3,3,4,1,1.2,16,0.34,3,1
178.22,1,3,7,1,0.29,8,0.89,2,1
484.43,3,5,2,3,0.95,18,0.86,3,1
30.58,1,7,7,2,-1.57,7,0.41,0,1
42.58,2,4,5,0,-0.46,8,0.96,1,1
1187.47,0,3,4,3,-0.68,16,0.57,2,0
19.91,2,6,2,1,-0.2,6,0.32,0,1
51.12,2,4,3,1,-0.91,9,0.3,2,1
476.04,3,3,7,2,0.7,6,0.02,0,1
59.6,1,5,2,3,-2.06,13,0.7,1,1
238.4,3,0,0,2,0.9,16,0.61,1,1
40.27,2,1,6,2,-0.52,16,0.44,2,1
14.65,2,2,5,0,0.21,9,0.14,2,1
72.72,1,7,7,1,-1.3,18,0.47,2,1
64.29,1,1,4,2,-1.27,3,0.95,0,1
127.18,1,2,4,0,-0.74,1,0.33,0,1
24.14,2,2,7,1,1.08,12,0.23,1,1
33.38,1,5,1,2,-1.34,4,0.92,3,1
378.55,3,2,4,1,1.84,11,0.37,2,1
11.01,2,0,7,2,-0.05,7,0.92,1,1
26.92,1,6,2,3,-0.35,3,0.75,2,1
143.43,1,7,5,3,-0.0,18,0.18,0,1
19.9,2,7,7,1,-0.93,16,0.21,3,1
108.92,1,5,6,0,0.77,13,0.85,3,1
251.35,1,7,3,2,0.93,13,0.72,0,1
306.43,3,1,6,1,-0.5,15,0.31,0,1
8.23,2,6,6,0,0.3,2,0.32,2,1
195.51,1,3,4,0,1.16,20,0.05,2,1
107.7,1,1,0,3,-0.75,18,0.31,1,1
17.05,2,1,0,2,0.16,16,0.24,1,1
93.36,1,0,6,0,0.45,3,0.15,0,1
222.77,3,4,4,1,0.3,15,0.9,1,1
206.14,1,4,4,1,0.06,14,0.8,2,1
22.95,2,2,0,0,0.48,17,0.29,1,1
85.09,1,0,1,3,-0.38,2,0.84,0,1
470.62,3,3,6,1,-1.07,8,0.43,1,1
1124.83,0,6,1,0,-0.1,8,0.35,0,0
156.11,1,5,3,1,-3.26,18,0.87,2,1
288.97,3,4,1,1,-0.25,15,0.12,2,1
1656.72,0,6,4,3,0.95,13,0.42,2,0
457.51,0,2,3,3,1.44,11,0.02,3,0
31.78,1,1,7,2,0.5,13,0.54,3,1
19.16,2,5,3,1,0.25,15,0.26,2,1
606.17,3,7,6,3,-0.41,18,0.69,3,1
15.9,2,4,3,1,-0.18,13,0.37,3,1
1638.6,0,2,6,0,1.11,20,0.75,1,0
3.98,1,7,2,0,-1.0,2,0.65,3,1
369.31,3,0,0,2,-1.12,18,0.28,2,1
625.21,3,4,5,1,0.32,13,0.74,3,1
18.02,1,5,2,1,0.64,12,0.19,1,1
761.01,0,0,1,3,-1.02,20,0.61,1,0
1013.42,0,4,1,2,0.21,3,0.82,2,0
21.25,2,7,3,2,0.11,13,0.2,3,1
11.63,2,2,1,3,0.66,11,0.66,3,1
298.45,3,4,7,3,1.79,12,0.53,2,1
2257.75,0,4,0,0,0.12,3,0.89,0,0
28.82,1,7,6,1,-0.86,16,0.45,2,1
47.74,1,6,4,0,0.74,15,0.76,3,1
1019.42,0,5,3,1,0.13,6,0.72,0,0
388.35,3,6,7,1,1.89,15,0.77,0,1
1212.73,0,1,1,1,1.17,7,0.21,3,0
14.92,2,3,2,3,-0.81,17,0.79,2,1
67.28,1,6,6,2,-1.18,4,0.39,1,1
225.46,1,4,4,0,0.73,12,0.84,1,1
1081.43,0,5,4,0,-0.11,5,0.19,2,0
332.15,3,2,4,2,-1.02,15,0.05,3,1
105.78,1,7,6,1,0.29,17,0.8,0,1
422.89,3,5,0,2,1.4,15,0.6,2,1
22.66,2,7,5,0,-1.07,15,0.0,2,1
14.31,2,2,0,0,-0.45,14,0.37,0,1
42.09,1,0,5,1,0.76,2,0.08,1,1
227.02,0,3,2,2,1.27,1,0.27,2,1
1295.99,0,0,6,1,1.01,13,0.03,0,0
329.78,3,1,2,2,0.78,3,0.28,3,1
25.21,2,4,2,2,-0.01,14,0.41,3,1
20.68,1,4,3,1,-0.43,10,0.26,1,1
134.49,3,2,5,2,0.51,20,0.43,2,1
23.55,2,2,5,1,-1.36,7,0.35,3,1
12.11,2,5,1,3,-0.62,13,0.36,0,1
1952.53,0,0,1,0,-0.46,17,0.27,0,0
688.16,3,7,6,3,0.92,8,0.13,1,1
14.06,2,6,6,3,0.95,1,0.43,2,1
1018.86,0,3,4,2,-0.54,1,0.49,2,0
922.44,0,7,0,0,-1.19,3,0.91,0,0
1300.52,0,1,3,0,-0.11,16,0.09,2,0
448.44,3,6,1,3,1.08,5,0.6,1,1
145.27,3,0,6,0,0.41,18,0.73,0,1
244.91,1,1,4,0,-0.53,9,0.26,2,1
23.92,2,3,5,1,-0.23,12,0.22,1,1
4.9,2,6,7,0,-0.59,18,0.65,2,1
56.99,2,3,3,2,0.77,1,0.1,1,1
25.68,2,1,4,3,1.59,17,0.25,3,1
1023.57,0,4,1,3,0.82,2,0.51,2,0
12.1,2,0,2,1,-0.99,5,0.2,3,1
313.8,3,5,6,0,1.76,6,0.17,2,1
18.69,2,7,6,2,0.25,8,0.18,2,1
140.38,1,6,4,1,0.93,11,0.15,3,1
310.46,3,0,1,2,0.3,1,0.96,2,1
812.41,0,7,1,0,0.01,12,0.61,1,0
24.29,2,7,6,2,0.52,16,0.07,1,1
36.26,1,5,3,2,-0.34,2,0.23,2,1
307.88,3,7,5,1,-0.25,3,0.37,3,1
1.56,1,6,2,0,1.31,4,0.11,3,1
84.13,1,7,0,2,1.71,14,0.31,1,1
1199.18,0,6,3,1,1.03,18,0.16,2,0
30.63,2,6,2,2,0.03,11,0.07,3,1
167.41,3,1,7,0,3.23,20,0.27,0,1
658.55,0,7,0,3,0.59,13,0.47,2,0
186.17,0,3,7,1,-1.2,1,0.66,3,1
1479.6,0,3,1,0,-0.51,1,0.8,2,0
3.82,2,4,7,3,0.82,14,0.39,0,1
290.09,1,6,3,2,0.49,8,0.18,1,1
34.84,1,0,0,3,-0.63,4,0.08,3,1
1094.93,0,3,5,0,1.06,9,0.39,0,0
12.44,1,4,4,1,-0.44,12,0.55,0,1
774.59,0,1,3,1,0.71,10,0.93,3,0
294.35,3,3,0,1,0.81,13,0.49,1,1
13.26,2,3,4,1,-0.58,12,0.78,1,1
502.49,3,2,0,0,-0.63,17,0.05,2,1
315.51,3,7,7,3,-1.25,1,0.08,1,1
67.48,1,6,0,0,1.73,1,0.08,3,1
63.63,0,1,1,2,-0.71,1,0.78,3,1
0.01,3,4,1,3,-0.81,17,0.26,1,1
19.62,1,1,7,2,1.29,13,0.38,2,1
644.06,0,3,3,1,0.28,11,0.34,0,0
144.23,3,1,3,1,-0.31,19,0.71,1,1
20.59,1,0,7,3,-0.45,16,0.12,1,1
1041.56,0,3,7,2,0.14,20,0.72,3,0
38.83,1,6,1,2,0.1,7,0.74,3,1
569.93,3,3,3,3,0.69,14,0.81,2,1
523.16,3,6,3,1,-0.38,9,0.39,2,1
187.67,1,4,2,1,-0.32,18,0.84,0,1
509.54,3,0,3,3,0.15,9,0.53,3,1
591.54,3,4,6,1,-0.61,14,0.24,3,1
400.65,0,6,1,1,-0.48,4,0.56,3,0
11.42,2,1,7,2,-1.01,10,0.97,3,1
659.29,0,1,6,2,-0.7,19,0.09,2,0
298.96,3,4,7,0,0.09,5,0.9,3,1
257.61,3,5,4,1,0.83,7,0.26,0,1
718.55,0,7,6,1,-1.1,11,0.01,0,0
46.39,2,6,2,0,1.77,11,0.4,1,1
328.22,3,1,0,1,1.96,9,0.87,3,1
8.22,2,1,1,3,-0.85,10,0.33,0,1
46.09,2,6,0,1,-0.24,2,0.96,0,1
1008.71,0,0,5,1,-1.99,19,0.44,1,0
624.63,0,5,4,2,0.99,11,0.69,0,0
1352.99,0,7,7,0,0.56,8,0.25,0,0
2.9,1,4,1,0,0.19,1,0.21,3,1
47.37,2,3,6,1,-1.99,6,0.1,3,1
15.1,2,5,7,3,1.99,2,0.46,1,1
40.99,1,2,3,1,-1.22,6,0.53,2,1
1231.18,0,1,2,2,0.89,15,0.02,0,0
41.0,2,5,6,0,0.82,20,1.0,2,1
590.3,0,4,5,3,-0.71,18,0.76,3,0
30.79,1,3,7,1,-0.32,19,0.83,3,1
21.5,2,5,5,2,-0.96,8,0.23,1,1
312.28,3,1,6,2,-1.92,9,0.1,1,1
71.68,1,7,4,1,0.12,10,0.24,1,1
1085.47,0,3,2,2,-0.4,11,0.41,1,0
1301.46,0,0,0,1,1.2,19,0.67,3,0
1618.97,0,3,5,2,-0.14,11,0.69,3,0
1151.2,0,0,5,0,-0.42,9,0.86,0,0
17.44,2,3,5,3,-0.21,9,0.18,1,1
25.03,2,2,1,2,-0.56,1,0.48,0,1
165.48,1,5,1,3,0.4,9,0.35,0,1
66.61,1,5,6,0,-0.75,1,0.93,3,1
10.14,2,6,5,2,-0.1,3,0.35,2,1
262.35,3,7,6,1,1.1,1,0.68,2,1
21.55,2,2,7,0,0.56,6,0.95,0,1
331.85,3,0,6,3,0.02,16,0.14,0,1
560.92,3,6,5,0,0.6,7,0.13,0,1
342.68,1,7,6,1,-0.03,8,0.45,0,1
644.06,3,0,4,1,2.14,20,0.92,2,1
337.33,3,5,0,2,-2.18,17,0.86,3,1
773.19,0,2,3,3,-0.71,8,0.95,2,0
15.95,2,3,0,3,-0.84,11,1.0,0,1
2021.29,0,4,1,0,-0.34,20,0.17,1,0
20.69,2,0,6,0,0.32,15,0.33,0,1
1380.36,0,6,2,2,-0.58,13,0.45,3,0
19.23,2,1,5,1,-0.69,4,0.7,1,1
331.83,3,7,3,1,0.08,18,0.48,0,1
250.2,3,5,0,0,0.5,7,0.11,3,1
1557.4,0,1,2,2,-2.75,15,0.23,3,0
402.21,1,7,2,1,-1.2,6,0.03,1,1
56.27,1,6,5,2,1.4,20,0.95,1,1
1495.36,0,4,5,3,0.35,6,0.32,1,0
8.57,2,1,6,3,0.97,16,0.93,2,1
425.64,3,7,2,1,1.05,8,0.29,3,1
310.15,1,0,4,2,1.01,9,0.41,1,1
495.86,0,2,0,0,0.83,20,0.5,1,0
149.09,1,3,0,2,-0.77,20,0.0,2,1
365.82,3,6,6,2,1.49,16,0.64,0,1
1213.86,0,7,0,3,-2.01,10,0.87,0,0
710.01,3,1,5,2,0.32,3,0.46,1,1
178.52,3,5,1,1,-1.35,18,0.87,0,1
331.21,3,5,4,2,0.24,20,0.07,2,1
268.39,0,4,1,2,2.48,13,0.17,2,0
172.0,3,3,6,3,0.53,1,0.72,3,1
1375.15,0,0,2,3,-1.38,14,0.43,3,0
1583.28,0,7,4,0,0.16,7,0.49,2,0
23.44,2,4,2,3,-2.81,20,0.75,2,1
21.98,2,7,5,1,-0.15,2,0.84,2,1
13.15,2,5,6,3,-1.57,4,0.66,3,1
24.04,2,4,3,3,-1.42,15,0.58,2,1
1.85,1,3,4,3,0.85,3,0.41,2,1
1480.4,0,3,0,2,-0.22,6,0.62,0,0
5.99,2,1,5,1,-1.83,20,0.36,0,1
436.94,3,0,0,0,-1.24,2,0.71,1,1
80.46,1,7,1,3,-0.45,2,0.47,2,1
98.57,3,2,2,1,0.62,11,0.4,3,1
156.79,1,4,7,0,1.02,16,0.99,0,1
120.22,1,1,5,2,-0.87,6,0.08,0,1
803.47,0,2,3,0,-1.13,7,0.31,3,0
1290.68,0,6,7,2,-0.38,5,0.47,3,0
48.54,0,5,7,3,1.33,1,0.05,1,1
1263.09,0,2,1,0,-0.11,6,0.24,0,0
474.58,3,0,7,0,1.38,17,0.8,3,1
68.77,1,6,3,1,-0.64,5,0.84,2,1
75.16,1,6,4,1,0.25,20,0.92,1,1
15.37,2,0,7,1,-0.82,5,0.13,2,1
544.54,0,3,1,2,-0.59,20,0.75,2,0
405.94,0,3,4,0,0.58,13,0.02,3,0
18.35,3,6,6,3,0.66,8,0.27,0,1
460.7,3,3,7,1,0.58,4,0.38,3,1
18.2,1,2,3,3,-0.79,14,0.22,3,1
1829.43,0,1,7,3,-2.23,7,0.89,3,0
222.11,1,5,7,0,-0.95,19,0.1,3,1
21.31,1,5,4,1,1.13,14,0.02,0,1
216.06,1,3,4,0,1.87,17,0.28,0,1
110.8,1,0,6,3,1.04,11,0.81,2,1
360.15,3,7,1,1,1.89,9,0.68,1,1
12.39,2,6,4,0,-0.13,2,0.3,0,1
35.41,1,0,4,3,-0.45,6,0.46,0,1
1444.72,0,2,0,0,0.53,15,0.24,0,0
5.15,1,4,3,3,0.75,10,0.9,2,1
1678.97,0,5,5,0,-2.66,7,0.04,0,0
1958.3,0,3,1,0,-0.85,10,0.16,1,0
90.14,1,1,5,3,0.87,16,0.49,0,1
6.63,2,1,6,3,0.83,20,0.96,0,1
31.4,2,0,3,3,0.53,15,0.88,3,1
237.53,1,7,1,3,2.25,11,0.64,0,1
265.82,3,5,1,0,-0.08,17,0.14,3,1
102.59,1,7,3,3,0.05,17,0.93,1,1
1613.86,0,3,7,1,-2.29,13,0.08,3,0
411.56,0,2,1,1,-0.85,1,0.06,2,0
120.04,3,6,7,2,0.88,9,0.19,0,1
831.72,0,4,5,3,0.17,18,0.79,3,0
37.22,1,6,3,2,-1.96,5,0.34,0,1
36.91,2,5,7,2,0.65,3,0.44,3,1
42.6,1,3,3,1,-0.19,18,0.94,1,1
1097.75,0,6,0,1,-1.36,1,0.96,0,0
689.03,0,3,1,0,1.67,4,0.65,1,0
15.03,2,4,0,0,0.34,1,0.82,2,1
159.23,3,3,4,2,-1.85,5,0.1,2,1
63.22,2,1,5,0,-0.31,13,0.44,2,1
40.62,2,7,4,1,-1.3,17,0.26,2,1
329.54,3,1,4,3,1.04,20,0.97,3,1
4.5,1,1,1,1,-0.09,8,0.52,0,1
19.91,1,4,6,3,0.47,6,0.98,0,1
351.09,3,7,4,3,-1.89,12,0.92,3,1
634.25,3,7,1,2,-1.31,7,0.41,1,1
1072.84,0,7,5,0,-0.57,11,0.25,3,0
86.29,3,7,2,2,-0.83,8,0.24,2,1
0.01,3,1,4,2,0.63,12,0.68,2,1
10.4,2,3,1,0,2.27,14,0.48,2,1
13.09,2,4,1,3,-0.33,8,0.3,0,1
508.52,3,5,5,2,1.26,15,0.41,1,1
417.8,3,1,5,1,0.29,13,0.49,3,1
294.52,3,3,0,0,-0.92,8,0.08,0,1
55.18,1,2,4,3,-0.79,1,0.46,0,1
20.7,1,3,2,2,-0.21,19,0.56,2,1
29.67,2,4,2,1,-0.89,10,0.17,1,1
191.38,3,0,7,3,0.49,8,0.35,1,1
27.81,2,2,3,1,0.09,18,0.63,0,1
779.84,0,5,1,2,0.43,5,0.74,1,0
29.12,1,1,6,3,-0.67,12,0.57,0,1
1195.09,0,0,2,3,-0.19,12,0.6,0,0
40.94,1,1,0,2,0.96,4,0.25,2,1
5.02,2,3,7,0,1.6,2,0.57,1,1
31.78,2,2,3,1,-0.37,14,0.5,1,1
9.79,2,7,0,1,-1.46,20,0.57,0,1
768.86,0,4,4,0,-1.8,7,0.87,0,0
7.18,2,5,4,0,0.31,2,0.25,1,1
62.8,1,7,1,3,-1.5,7,0.92,2,1
412.97,3,3,6,1,-0.68,7,0.5,3,1
530.05,3,3,4,0,-0.85,3,0.18,2,1
19.4,2,4,4,0,-1.1,2,0.92,2,1
233.62,1,2,5,3,-1.78,14,0.56,0,1
361.21,3,2,4,3,1.44,2,0.28,1,1
1798.8,0,6,2,1,0.68,20,0.6,1,0
21.29,2,7,6,1,0.23,18,0.6,2,1
2.74,1,1,4,3,-0.16,3,0.62,2,1
22.56,2,1,6,0,-0.54,20,0.76,0,1
430.28,3,7,2,1,0.05,12,0.44,2,1
563.44,3,7,5,1,-0.97,10,0.14,2,1
31.58,1,1,5,1,-1.75,15,0.79,1,1
176.72,3,5,5,3,-1.05,3,0.06,1,1
308.63,3,7,3,2,1.17,4,0.12,3,1
1233.3,0,1,1,1,-0.2,12,0.84,3,0
3.86,2,3,0,1,1.27,18,0.54,1,1
26.52,2,6,0,3,-0.63,6,0.68,0,1
462.11,3,4,6,3,1.31,1,0.44,3,1
498.22,3,0,1,1,0.38,8,0.34,3,1
27.02,2,3,5,2,0.26,8,0.2,3,1
31.85,2,6,2,0,0.01,14,0.13,3,1
53.91,2,7,4,3,0.08,7,0.07,0,1
417.43,3,0,3,1,0.58,16,0.95,3,1
24.38,2,6,0,0,1.46,9,0.43,2,1
76.74,2,5,3,2,0.43,14,0.63,1,1
135.91,1,7,6,1,-1.75,12,0.22,3,1
24.37,1,6,6,3,2.13,2,0.03,3,1
578.32,0,0,6,2,-0.01,1,0.98,3,0
620.76,0,0,1,0,0.65,5,0.87,0,0
209.9,3,3,1,3,0.54,1,0.35,0,1
142.39,3,5,5,3,-0.91,12,0.9,3,1
967.74,0,1,3,3,-0.89,8,0.98,2,0
226.66,1,4,7,2,0.96,7,0.25,1,1
26.46,1,4,7,1,1.7,8,0.55,0,1
707.26,0,3,0,3,0.71,12,0.34,1,0
50.67,1,0,3,3,0.68,7,0.53,0,1
37.76,2,5,6,2,-0.49,6,0.26,3,1
11.78,2,5,7,1,0.74,8,0.66,3,1
13.1,2,1,4,1,-0.33,5,0.3,2,1
17.21,2,1,4,3,-1.84,16,0.06,0,1
1890.91,0,4,4,2,0.34,15,0.92,2,0
1587.97,0,1,2,1,-0.01,15,0.28,0,0
0.01,3,4,3,2,1.96,16,0.83,1,1
376.26,3,6,5,2,-2.07,2,0.5,0,1
679.68,3,7,2,1,-1.25,16,0.28,0,1
149.77,1,5,0,0,0.87,6,0.91,2,1
47.8,1,1,4,3,0.3,11,0.87,3,1
86.74,1,3,2,3,1.55,16,0.06,1,1
364.76,3,6,4,2,-1.54,10,0.27,3,1
87.61,1,3,2,2,-0.98,15,0.4,0,1
499.77,3,7,0,1,-1.68,12,0.86,1,1
25.97,1,0,1,2,-0.0,8,0.33,1,1
406.2,0,5,5,2,-1.43,19,0.16,3,0
597.27,0,3,6,2,0.4,8,0.65,1,0
4.18,3,3,0,2,1.79,12,0.37,2,1
1129.77,0,6,2,2,0.21,5,0.79,3,0
48.19,1,6,6,0,-0.28,9,0.04,1,1
8.94,2,2,1,1,-1.0,11,0.09,1,1
953.66,0,1,0,3,0.02,17,0.27,0,0
71.07,2,3,4,0,-0.62,15,0.21,0,1
381.04,3,5,6,2,0.57,11,0.81,3,1
85.15,1,5,4,3,-0.81,2,0.03,2,1
401.15,3,0,3,1,-0.4,5,0.22,0,1
557.54,0,0,5,0,-0.98,6,0.63,1,0
19.35,2,6,2,3,-0.46,11,0.69,1,1
29.14,2,4,3,3,0.8,5,0.51,1,1
1339.36,0,1,0,1,0.59,6,0.51,1,0
1580.62,0,0,0,2,0.44,2,0.26,2,0
1060.82,0,2,4,0,0.17,15,0.8,2,0
9.95,2,7,5,3,0.43,2,0.23,1,1
100.46,2,7,6,2,-0.34,1,0.82,3,1
89.52,1,4,1,3,-0.39,8,0.26,0,1
22.16,2,2,4,0,0.3,3,0.71,1,1
17.96,2,7,6,1,1.53,19,0.96,1,1
320.44,3,5,3,0,-0.79,15,0.16,1,1
279.28,3,2,0,1,-0.1,11,0.93,2,1
1561.12,0,1,7,1,-0.72,1,0.5,0,0
8.15,2,6,6,0,-0.96,20,0.44,2,1
2192.19,0,0,4,2,1.56,18,0.93,0,0
5.34,2,4,6,1,-0.3,2,0.7,2,1
8.34,2,3,2,3,3.1,5,0.61,3,1
19.73,3,1,4,2,1.52,12,0.29,3,1
923.67,0,2,3,0,-1.11,17,0.53,0,0
1359.19,0,4,5,1,-0.6,5,0.11,3,0
956.14,0,4,0,1,0.69,7,0.95,0,0
579.34,3,1,2,3,-0.13,19,0.63,1,1
11.25,2,5,5,1,0.37,5,0.1,1,1
1087.95,0,0,5,2,0.71,1,0.68,2,0
9.1,1,7,3,0,-0.39,13,0.01,2,1
25.38,2,5,5,0,-1.36,4,0.16,2,1
12.04,2,5,2,3,-0.0,6,0.53,2,1
321.63,3,2,0,3,0.42,2,0.57,0,1
243.89,0,3,3,1,-1.68,16,0.88,3,1
302.91,3,6,5,2,1.57,6,0.33,3,1
6.38,1,1,4,2,0.72,6,0.26,0,1
34.67,1,1,1,1,-0.24,13,0.59,3,1
37.36,2,0,1,1,-0.04,9,0.97,1,1
67.88,1,1,4,2,-0.44,10,0.73,2,1
58.0,2,2,6,2,0.23,13,0.3,2,1
390.4,0,4,0,1,-0.24,20,0.7,0,0
178.98,3,3,4,2,-0.56,9,0.17,0,1
141.32,3,2,2,3,1.56,19,0.61,3,1
1335.7,0,0,4,0,1.56,10,0.91,1,0
652.22,0,5,1,3,-0.36,15,0.07,3,0
1277.79,0,4,5,1,0.3,16,0.5,3,0
578.92,0,0,0,3,-1.14,5,0.49,1,0
23.16,2,2,6,3,-0.2,3,0.16,3,1
18.56,2,0,5,1,0.69,2,0.06,3,1
39.97,0,4,6,0,-2.22,17,0.09,0,1
166.64,1,2,3,3,-1.2,17,0.88,0,1
529.69,0,3,2,0,-0.57,7,0.97,3,0
13.57,2,1,0,0,-1.13,10,0.23,1,1
55.97,1,2,2,1,0.92,3,0.89,3,1
25.77,1,5,2,2,-0.41,20,0.38,0,1
426.7,3,3,4,3,0.14,19,0.9,1,1
61.62,1,4,5,3,0.47,18,0.3,1,1
29.55,2,4,4,3,-0.58,15,0.58,2,1
175.96,3,0,4,2,0.88,20,0.9,0,1
122.55,1,4,1,0,1.37,3,0.67,1,1
216.46,1,4,2,1,1.12,11,0.42,1,1
1512.45,0,2,6,2,-0.76,16,0.16,1,0
0.01,0,2,6,0,-0.72,14,0.58,0,1
0.01,3,2,4,1,1.29,10,0.72,3,1
17.7,2,4,5,1,-0.29,9,0.39,1,1
7.25,2,0,7,3,0.87,16,0.69,2,1
14.87,1,4,4,2,0.18,4,0.3,3,1
26.7,1,3,6,1,1.87,14,0.42,1,1
922.76,0,0,0,1,0.33,13,0.7,3,0
495.63,0,7,1,2,1.26,2,0.54,0,0
1891.24,0,2,0,0,2.2,18,0.19,1,0
21.65,1,1,3,2,0.77,10,0.8,3,1
